"","course_code","title","credits","department","course_number"
"837","COLT 460","Major Theorists: [Topic]","4","COLT","460"
"838","COLT 462","Cultural Intersections: [Topic]","4","COLT","462"
"839","COLT 470","Studies in Identity: [Topic]","4","COLT","470"
"840","CIT 281","Web Applications Development I","4","CIT","281"
"841","CIT 381","Database Systems","4","CIT","381"
"842","CIT 382","Web Applications Development II","4","CIT","382"
"843","CIT 383","Networking Fundamentals","4","CIT","383"
"844","CIT 405","Reading and Conference: [Topic]","1-4","CIT","405"
"845","CS 102","Fundamentals of Computer and Information Security","4","CS","102"
"846","CS 110","Fluency with Information Technology","4","CS","110"
"847","CS 111","Introduction to Web Programming","4","CS","111"
"848","CS 122","Introduction to Programming and Problem Solving","4","CS","122"
"849","CS 196","Field Studies: [Topic]","1-2","CS","196"
"850","CS 198","Workshop: [Topic]","1-2","CS","198"
"851","CS 199","Special Studies: [Topic]","1-5","CS","199"
"852","CS 199L","Special Studies in Computer Science: [Topic]","1-5","CS","199L"
"853","CS 210","Computer Science I","4","CS","210"
"854","CS 211","Computer Science II","4","CS","211"
"855","CS 212","Computer Science III","4","CS","212"
"856","CS 299","Special Studies: [Topic]","1-5","CS","299"
"857","CS 313","Intermediate Data Structures","4","CS","313"
"858","CS 314","Computer Organization","4","CS","314"
"859","CS 315","Intermediate Algorithms","4","CS","315"
"860","CS 322","Introduction to Software Engineering","4","CS","322"
"861","CS 330","C/C++ and Unix","4","CS","330"
"862","CS 332","System and Security Administration Lab","4","CS","332"
"863","CS 333","Applied Cryptography","4","CS","333"
"864","CS 372M","Machine Learning for Data Science","4","CS","372M"
"865","CS 399","Special Studies: [Topic]","1-5","CS","399"
"866","CS 400M","Temporary Multilisted Course","1-5","CS","400M"
"867","CS 401","Research: [Topic]","1-16","CS","401"
"868","CS 402","Supervised College Teaching","1-2","CS","402"
"869","CS 403","Thesis","1-12","CS","403"
"870","CS 404","Internship: [Topic]","1-4","CS","404"
"871","CS 405","Reading and Conference: [Topic]","1-12","CS","405"
"872","CS 406","Practicum: [Topic]","1-2","CS","406"
"873","CS 407","Seminar: [Topic]","1-5","CS","407"
"874","CS 408","Workshop: [Topic]","1-21","CS","408"
"875","CS 409","Terminal Project","1-12","CS","409"
"876","CS 410","Experimental Course: [Topic]","1-5","CS","410"
"877","CS 413","Advanced Data Structures","4","CS","413"
"878","CS 415","Operating Systems","4","CS","415"
"879","CS 420","Automata Theory","4","CS","420"
"880","CS 422","Software Methodology I","4","CS","422"
"881","CS 423","Software Methodology II","4","CS","423"
"882","CS 425","Principles of Programming Languages","4","CS","425"
"883","CS 429","Computer Architecture","4","CS","429"
"884","CS 431","Introduction to Parallel Computing","4","CS","431"
"885","CS 432","Introduction to Networks","4","CS","432"
"886","CS 433","Computer and Network Security","4","CS","433"
"887","CS 434","Computer and Network Security II","4","CS","434"
"888","CS 436","Secure Software Development","4","CS","436"
"889","CS 437","Computer and Network Security Practicum","4","CS","437"
"890","CS 441","Introduction to Computer Graphics","4","CS","441"
"891","CS 443","User Interfaces","4","CS","443"
"892","CS 445","Modeling and Simulation","4","CS","445"
"893","CS 451","Database Processing","4","CS","451"
"894","CS 453","Data Mining","4","CS","453"
"895","CS 461","Introduction to Compilers","4","CS","461"
"896","CS 471","Introduction to Artificial Intelligence","4","CS","471"
"897","CS 472","Machine Learning","4","CS","472"
"898","CS 473","Probabilistic Methods for Artificial Intelligence","4","CS","473"
"899","CRES 101","Introduction to Conflict Resolution","4","CRES","101"
"900","CRES 199","Special Studies: [Topic]","1-4","CRES","199"
"901","CRES 399","Special Studies: [Topic]","1-5","CRES","399"
"902","CRES 401","Research: [Topic]","1-4","CRES","401"
"903","CRES 404","Internship: [Topic]","1-4","CRES","404"
"904","CRES 410","Experimental Course: [Topic]","1-5","CRES","410"
"905","CRES 415","Conflict and Gender","4","CRES","415"
"906","CRES 435","Israel and Palestine","4","CRES","435"
"907","CRES 440","Dialogue across Differences","2","CRES","440"
"908","CRES 441","Dialogue Across Differences II","2","CRES","441"
"909","CRES 445","Conflicts of Incarceration","4","CRES","445"
"910","CPSY 198","Workshop: [Topic]","1-2","CPSY","198"
"911","CPSY 199","Special Studies: [Topic]","1-5","CPSY","199"
"912","CPSY 217","Foundations of Student Health and Well-Being","3","CPSY","217"
"913","CPSY 401","Research: [Topic]","1-5","CPSY","401"
"914","CPSY 404","Internship: [Topic]","1-12","CPSY","404"
"915","CPSY 405","Special Problems: [Topic]","1-12","CPSY","405"
"916","CPSY 406","Practicum: [Topic]","1-12","CPSY","406"
"917","CPSY 407","Seminar: [Topic]","1-5","CPSY","407"
"918","CPSY 408","Workshop: [Topic]","1-21","CPSY","408"
"919","CPSY 409","Terminal Project","1-12","CPSY","409"
"920","CPSY 410","Experimental Course: [Topic]","1-5","CPSY","410"
"921","CFT 401","Research: [Topic]","1-5","CFT","401"
"922","CFT 407","Seminar: [Topic]","1-5","CFT","407"
"923","CFT 410","Experimental Course: [Topic]","1-5","CFT","410"
"924","CRWR 199","Special Studies: [Topic]","1-5","CRWR","199"
"925","CRWR 225","Kidd Workshop I","4","CRWR","225"
"926","CRWR 230","Introduction to Poetry Writing","4","CRWR","230"
"927","CRWR 235","Kidd Workshop II Poetry","4","CRWR","235"
"928","CRWR 240","Introduction to Fiction Writing","4","CRWR","240"
"929","CRWR 244","Introduction to Literary Nonfiction","4","CRWR","244"
"930","CRWR 245","Kidd Workshop II: Fiction","4","CRWR","245"
"931","CRWR 330","Intermediate Poetry Writing","4","CRWR","330"
"932","CRWR 335","Kidd Workshop III: Poetry","4","CRWR","335"
"933","CRWR 336","Intermediate Creative Nonfiction","4","CRWR","336"
"934","CRWR 340","Intermediate Fiction Writing","4","CRWR","340"
"935","CRWR 345","Kidd Workshop III: Fiction","4","CRWR","345"
"936","CRWR 399","Special Studies: [Topic]","1-5","CRWR","399"
"937","CRWR 405","Writing and Conference: [Topic]","1-21","CRWR","405"
"938","CRWR 407","Seminar: [Topic]","1-5","CRWR","407"
"939","CRWR 410","Experimental Course: [Topic]","1-5","CRWR","410"
"940","CRWR 413","Literature for Poets","4","CRWR","413"
"941","CRWR 414","Literature for Fiction Writers","4","CRWR","414"
"942","CRWR 435","Advanced Poetry Writing","4","CRWR","435"
"943","CRWR 445","Advanced Fiction Writing","4","CRWR","445"
"944","DANC 170","Contemporary I","1 Credit.","DANC","170"
"945","DANC 172","Ballet I","1 Credit.","DANC","172"
"946","DANC 175","Hip Hop I","1 Credit.","DANC","175"
"947","DANC 185","African I","1 Credit.","DANC","185"
"948","DANC 199","Special Studies: [Topic]","1-5","DANC","199"
"949","DANC 270","Contemporary II","1 Credit.","DANC","270"
"950","DANC 272","Ballet II","1 Credit.","DANC","272"
"951","DANC 275","Hip Hop II","1 Credit.","DANC","275"
"952","DANC 285","African II","1 Credit.","DANC","285"
"953","DANC 299","Special Studies: [Topic]","1-5","DANC","299"
"954","DANC 370","Contemporary III","1 Credit.","DANC","370"
"955","DANC 372","Ballet III","1 Credit.","DANC","372"
"956","DANC 375","Hip Hop III","1 Credit.","DANC","375"
"957","DANC 399","Special Studies: [Topic]","1-5","DANC","399"
"958","DAN 125","First Year Seminar: [Topic]","1 Credit.","DAN","125"
"959","DAN 171","Dance Improvisation: [Topic]","1 Credit.","DAN","171"
"960","DAN 198","Workshop: [Topic]","1-2","DAN","198"
"961","DAN 199","Special Studies: [Topic]","1-5","DAN","199"
"962","DAN 241","Screendance: History and Theory","4","DAN","241"
"963","DAN 251","Looking at Dance","4","DAN","251"
"964","DAN 252","Dance Composition I","3","DAN","252"
"965","DAN 255","Dance Production I","3","DAN","255"
"966","DAN 256","Dance Somatics","3","DAN","256"
"967","DAN 258","Musical Elements of Dance","3","DAN","258"
"968","DAN 260","Anatomy of Human Movement","4","DAN","260"
"969","DAN 271","Contact Improvisation: [Topic]","1 Credit.","DAN","271"
"970","DAN 280","Dance Loft Performance","1 Credit.","DAN","280"
"971","DAN 299","Special Studies: [Topic]","1-5","DAN","299"
"972","DAN 301","African Dance Aesthetics","4","DAN","301"
"973","DAN 352","Dance Composition II","3","DAN","352"
"974","DAN 355","Dance Production II","1-2","DAN","355"
"975","DAN 360","Dance Kinesiology","4","DAN","360"
"976","DAN 380","Student Dance Concert Performance","2","DAN","380"
"977","DAN 394","Contemporary III","3","DAN","394"
"978","DAN 401","Research: [Topic]","1-4","DAN","401"
"979","DAN 403","Thesis","1-12","DAN","403"
"980","DAN 404","Internship: [Topic]","1-4","DAN","404"
"981","DAN 405","Reading and Conference: [Topic]","1-21","DAN","405"
"982","DAN 406","Practicum: [Topic]","1-12","DAN","406"
"983","DAN 407","Seminar: [Topic]","1-5","DAN","407"
"984","DAN 408","Workshop: [Topic]","1-21","DAN","408"
"985","DAN 409","Terminal Project","1-12","DAN","409"
"986","DAN 410","Experimental Course: [Topic]","1-5","DAN","410"
"987","DAN 412","Student Dance Concert","1-6","DAN","412"
"988","DAN 425","Senior Seminar: [Topic]","1 Credit.","DAN","425"
"989","DAN 436","Dema African Performance Ensemble: [Topic]","3","DAN","436"
"990","DAN 443","Dance and Power","3","DAN","443"
"991","DAN 444","Contemporary Issues in Dance","3","DAN","444"
"992","DAN 452","Dance Composition III","3","DAN","452"
"993","DAN 458","Music for Dancers","3","DAN","458"
"994","DAN 480","Faculty Dance Concert Performance","2","DAN","480"
"995","DAN 486","Student Dance Collective: [Topic]","3","DAN","486"
"996","DAN 491","Teaching Dance","3","DAN","491"
"997","DAN 494","Advanced Movement Practice","3","DAN","494"
"998","DANE 199","Special Studies: [Topic]","1-5","DANE","199"
"999","DANE 399","Special Studies: [Topic]","1-5","DANE","399"
"1000","DANE 401","Research: [Topic]","1-16","DANE","401"
"1001","DANE 403","Thesis","1-12","DANE","403"
"1002","DANE 405","Reading and Conference: [Topic]","1-16","DANE","405"
"1003","DANE 409","Terminal Project","1-12","DANE","409"
"1004","DSCI 101","Foundations of Data Science I","4","DSCI","101"
"1005","DSCI 102","Foundations of Data Science II","4","DSCI","102"
"1006","DSCI 196","Field Studies: [Topic]","1-12","DSCI","196"
"1007","DSCI 198","Workshop: [Topic]","1-12","DSCI","198"
"1008","DSCI 199","Special Studies: [Topic]","1-5","DSCI","199"
"1009","DSCI 299","Special Studies: [Topic]","1-5","DSCI","299"
"1010","DSCI 311","Principles and Techniques of Data Science","4","DSCI","311"
"1011","DSCI 345M","Probability and Statistics for Data Science","4","DSCI","345M"
"1012","DSCI 350M","Humanities Research Data Management","4","DSCI","350M"
"1013","DSCI 372M","Machine Learning for Data Science","4","DSCI","372M"
"1014","DSCI 399","Special Studies: [Topic]","1-5","DSCI","399"
"1015","DSCI 400M","Temporary Multilisted Course","1-5","DSCI","400M"
"1016","DSCI 401","Research: [Topic]","1-12","DSCI","401"
"1017","DSCI 402","Supervised College Teaching","1-6","DSCI","402"
"1018","DSCI 403","Thesis","1-12","DSCI","403"
"1019","DSCI 404","Internship: [Topic]","1-12","DSCI","404"
"1020","DSCI 405","Reading and Conference: [Topic]","1-5","DSCI","405"
"1021","DSCI 406","Field Studies: [Topic]","1-12","DSCI","406"
"1022","DSCI 407","Seminar: [Topic]","1-5","DSCI","407"
"1023","DSCI 409","Terminal Project","1-12","DSCI","409"
"1024","DSCI 410","Experimental Course: [Topic]","1-5","DSCI","410"
"1025","DSCI 410L","Experimental Course: [Topic]","4","DSCI","410L"
"1026","DSCI 411","Capstone Project","4","DSCI","411"
"1027","ERTH 101","Exploring Planet Earth","4","ERTH","101"
"1028","ERTH 102","Exploring Earth’s Environment","4","ERTH","102"
"1029","ERTH 103","Exploring Earth History","4","ERTH","103"
"1030","ERTH 137","Mountains and Glaciers","4","ERTH","137"
"1031","ERTH 156M","Scientific Revolutions","4","ERTH","156M"
"1032","ERTH 198","Laboratory Projects: [Topic]","1-12","ERTH","198"
"1033","ERTH 199","Special Studies: [Topic]","1-6","ERTH","199"
"1034","ERTH 201","Dynamic Planet Earth","4","ERTH","201"
"1035","ERTH 202","Earth's Surface and Environment","4","ERTH","202"
"1036","ERTH 203","History of Life","4","ERTH","203"
"1037","ERTH 213","Geology of National Parks","4","ERTH","213"
"1038","ERTH 304","The Fossil Record","4","ERTH","304"
"1039","ERTH 305","Dinosaurs","4","ERTH","305"
"1040","ERTH 306","Volcanoes and Earthquakes","4","ERTH","306"
"1041","ERTH 307","Oceanography","4","ERTH","307"
"1042","ERTH 308","Geology of Oregon and the Pacific Northwest","4","ERTH","308"
"1043","ERTH 310","Earth Resources and the Environment","4","ERTH","310"
"1044","ERTH 311","Earth Materials","5","ERTH","311"
"1045","ERTH 315","Earth Physics","4","ERTH","315"
"1046","ERTH 316","Introduction to Hydrogeology","4","ERTH","316"
"1047","ERTH 318","Introduction to Field Methods","3","ERTH","318"
"1048","ERTH 319","Field Studies Oregon Geology","4","ERTH","319"
"1049","ERTH 331","Mineralogy","5","ERTH","331"
"1050","ERTH 332","Introduction to Petrology","5","ERTH","332"
"1051","ERTH 334","Sedimentology and Stratigraphy","4","ERTH","334"
"1052","ERTH 337","Introduction to Physical Oceanography","4","ERTH","337"
"1053","ERTH 350","Structural Geology","3","ERTH","350"
"1054","ERTH 351","Structural Geology Problems","1 Credit.","ERTH","351"
"1055","ERTH 352","Structural Geology Laboratory and Field","1 Credit.","ERTH","352"
"1056","ERTH 353","Geologic Hazards","4","ERTH","353"
"1057","ERTH 363","Computational Tools for Earth Sciences","4","ERTH","363"
"1058","ERTH 399","Special Studies: [Topic]","1-5","ERTH","399"
"1059","ERTH 400M","Temporary Multilisted Course","1-5","ERTH","400M"
"1060","ERTH 401","Research: [Topic]","1-21","ERTH","401"
"1061","ERTH 403","Thesis","1-6","ERTH","403"
"1062","ERTH 405","Reading and Conference: [Topic]","1-21","ERTH","405"
"1063","ERTH 406","Field Studies: [Topic]","1-6","ERTH","406"
"1064","ERTH 407","Seminar: [Topic]","1-5","ERTH","407"
"1065","ERTH 408","Laboratory Projects: [Topic]","1-12","ERTH","408"
"1066","ERTH 409","Terminal Project","1-12","ERTH","409"
"1067","ERTH 410","Experimental Course: [Topic]","1-5","ERTH","410"
"1068","ERTH 410L","Experimental Course: [Topic]","1-5","ERTH","410L"
"1069","ERTH 416","Geophysical and Environmental Sensors","4","ERTH","416"
"1070","ERTH 418","Earth and Environmental Data Analysis","4","ERTH","418"
"1071","ERTH 420","Geocommunication","3","ERTH","420"
"1072","ERTH 423M","Introduction to Space Physics","4","ERTH","423M"
"1073","ERTH 434","Vertebrate Paleontology","4","ERTH","434"
"1074","ERTH 436","Paleoecology and Functional Morphology","4","ERTH","436"
"1075","ERTH 441","Hillslope Geomorphology","4","ERTH","441"
"1076","ERTH 451","Hydrogeology","4","ERTH","451"
"1077","ERTH 453","Tectonics","3","ERTH","453"
"1078","ERTH 454","Fluid Dynamics","4","ERTH","454"
"1079","ERTH 455","Mechanical Earth","4","ERTH","455"
"1080","ERTH 456","Signal Processing","4","ERTH","456"
"1081","ERTH 458","Earth Monitoring","4","ERTH","458"
"1082","ERTH 467","Fault Mechanics","4","ERTH","467"
"1083","ERTH 468","Introduction to Seismology","4","ERTH","468"
"1084","ERTH 471","Thermodynamic Geochemistry","4","ERTH","471"
"1085","ERTH 473","Isotope Geochemistry","4","ERTH","473"
"1086","ERTH 474","Soil and Environmental Chemistry","4","ERTH","474"
"1087","ERTH 480","Volcanology","4","ERTH","480"
"1088","EALL 109","Language of Food in East Asia","4","EALL","109"
"1089","EALL 196","Field Studies: [Topic]","1-2","EALL","196"
"1090","EALL 198","Workshop: [Topic]","1-2","EALL","198"
"1091","EALL 199","Special Studies: [Topic]","1-5","EALL","199"
"1092","EALL 199L","Special Studies: [Topic]","4","EALL","199L"
"1093","EALL 209","Languages and Societies in East Asia","4","EALL","209"
"1094","EALL 211","Japan A Cultural Odyssey","4","EALL","211"
"1095","EALL 399","Special Studies: [Topic]","1-5","EALL","399"
"1096","EALL 401","Research: [Topic]","1-21","EALL","401"
"1097","EALL 402","Supervised Tutoring","1-12","EALL","402"
"1098","EALL 405","Reading and Conference: [Topic]","1-21","EALL","405"
"1099","EALL 406","Field Studies: [Topic]","1-21","EALL","406"
"1100","EALL 407","Seminar: [Topic]","1-4","EALL","407"
"1101","EALL 408","Workshop: [Topic]","1-21","EALL","408"
"1102","EALL 409","Terminal Project","1-12","EALL","409"
"1103","EALL 410","Experimental Course: [Topic]","1-5","EALL","410"
"1104","EALL 442","Second-Language Acquisition","4","EALL","442"
"1105","EALL 443","Chinese, Japanese, and Korean Pedagogy","4","EALL","443"
"1106","EALL 445","East Asian Psycholinguistics","4","EALL","445"
"1107","EALL 460","Teaching East Asian Languages and Literatures at College Level","2","EALL","460"
"1108","EC 101","Contemporary Economic Issues","4","EC","101"
"1109","EC 199","Special Studies: [Topic]","1-5","EC","199"
"1110","EC 201","Introduction to Economic Analysis: Microeconomics","4","EC","201"
"1111","EC 202","Introduction to Economic Analysis: Macroeconomics","4","EC","202"
"1112","EC 311","Intermediate Microeconomic Theory","4","EC","311"
"1113","EC 313","Intermediate Macroeconomic Theory","4","EC","313"
"1114","EC 320","Introduction to Econometrics I","4","EC","320"
"1115","EC 327","Introduction to Game Theory","4","EC","327"
"1116","EC 328","Behavioral Economics and Its Applications","4","EC","328"
"1117","EC 330","Urban and Regional Economic Problems","4","EC","330"
"1118","EC 333","Resource and Environmental Economic Issues","4","EC","333"
"1119","EC 340","Issues in Public Economics","4","EC","340"
"1120","EC 350","Labor Market Issues","4","EC","350"
"1121","EC 360","Issues in Industrial Organization","4","EC","360"
"1122","EC 370","Money and Banking","4","EC","370"
"1123","EC 380","International Economic Issues","4","EC","380"
"1124","EC 390","Problems and Issues in the Developing Economies","4","EC","390"
"1125","EC 399","Special Studies: [Topic]","1-5","EC","399"
"1126","EC 400M","Temporary Multilisted Course","1-5","EC","400M"
"1127","EC 401","Research: [Topic]","1-21","EC","401"
"1128","EC 404","Internship","1-4","EC","404"
"1129","EC 405","Reading and Conference: [Topic]","1-21","EC","405"
"1130","EC 407","Seminar: [Topic]","1-5","EC","407"
"1131","EC 408","Workshop: [Topic]","1-21","EC","408"
"1132","EC 410","Experimental Course: [Topic]","1-5","EC","410"
"1133","EC 411","Advanced Microeconomic Theory","4","EC","411"
"1134","EC 412","Foundations of Economic Policy Analysis","4","EC","412"
"1135","EC 413","Advanced Macroeconomic Theory","4","EC","413"
"1136","EC 418","Economic Analysis of Community Issues I","2","EC","418"
"1137","EC 419","Economic Analysis of Community Issues II","4","EC","419"
"1138","EC 421","Introduction to Econometrics II","4","EC","421"
"1139","EC 422","Economic Forecasting","4","EC","422"
"1140","EC 423","Econometrics","4","EC","423"
"1141","EC 424","Econometrics","4","EC","424"
"1142","EC 425","Econometrics","4","EC","425"
"1143","EC 427","Games and Decisions","4","EC","427"
"1144","EC 428","Behavioral and Experimental Economics","4","EC","428"
"1145","EC 430","Urban and Regional Economics","4","EC","430"
"1146","EC 434","Environmental Economics","4","EC","434"
"1147","EC 440","Public Economics","4","EC","440"
"1148","EC 443","Health Economics","4","EC","443"
"1149","EC 448","Political Economy","4","EC","448"
"1150","EC 449","Computational Economics","4","EC","449"
"1151","EC 450","Labor Economics","4","EC","450"
"1152","EC 451","Issues in Labor Economics","4","EC","451"
"1153","EC 460","Theories of Industrial Organization","4","EC","460"
"1154","EC 471","Monetary Theory","4","EC","471"
"1155","EC 480","International Finance","4","EC","480"
"1156","EC 481","International Trade","4","EC","481"
"1157","EC 482","Economics of Globalization","4","EC","482"
"1158","EC 484","Multinational Corporations","4","EC","484"
"1159","EC 490","Economic Growth and Development","4","EC","490"
"1160","EDUC 199","Special Studies: [Topic]","1-5","EDUC","199"
"1161","EDUC 399","Special Studies: [Topic]","1-5","EDUC","399"
"1162","EDUC 406","Practicum: [Topic]","1-12","EDUC","406"
"1163","EDUC 407","Seminar: [Topic]","1-5","EDUC","407"
"1164","EDUC 408","Workshop: [Topic]","1-18","EDUC","408"
"1165","EDUC 410","Experimental Course: [Topic]","1-5","EDUC","410"
"1166","EDST 111","Education and Social Change","4","EDST","111"
"1167","EDST 196","Field Studies: [Topic]","1-2","EDST","196"
"1168","EDST 198","Workshop: [Topic]","1-2","EDST","198"
"1169","EDST 199","Special Studies: [Topic]","1-5","EDST","199"
"1170","EDST 211","Childhood Studies","4","EDST","211"
"1171","EDST 225","School and Representation in Media","4","EDST","225"
"1172","EDST 331","Autobiography of Schooling","4","EDST","331"
"1173","EDST 332","Learning, Teaching, and Assessment I","3","EDST","332"
"1174","EDST 333","Learning, Teaching, and Assessment II","3","EDST","333"
"1175","EDST 338","Observation: Learning, Teaching, Assessment I","1 Credit.","EDST","338"
"1176","EDST 339","Observation: Learning, Teaching, Assessment II","1 Credit.","EDST","339"
"1177","EDST 342","Curriculum Studies I","4","EDST","342"
"1178","EDST 343","Curriculum Studies II","4","EDST","343"
"1179","EDST 399","Special Studies: [Topic]","1-5","EDST","399"
"1180","EDST 401","Research: [Topic]","1-18","EDST","401"
"1181","EDST 402","Supervised College Teaching","1-6","EDST","402"
"1182","EDST 404","Internship: [Topic]","1-18","EDST","404"
"1183","EDST 405","Reading and Conference: [Topic]","1-18","EDST","405"
"1184","EDST 406","Practicum: [Topic]","1-12","EDST","406"
"1185","EDST 407","Seminar: [Topic]","1-5","EDST","407"
"1186","EDST 408","Workshop: [Topic]","1-6","EDST","408"
"1187","EDST 409","Terminal Project","1-12","EDST","409"
"1188","EDST 410","Experimental Course: [Topic]","1-5","EDST","410"
"1189","EDST 420","Living in a Stratified Society","4","EDST","420"
"1190","EDST 422","Technology Education","4","EDST","422"
"1191","EDST 440","Physical Education for Diverse Learners","3","EDST","440"
"1192","EDST 448","Integrating the Arts","4","EDST","448"
"1193","EDST 449","Introduction to Adaptive Physical Education","4","EDST","449"
"1194","EDST 450","Food and Schools","4","EDST","450"
"1195","EDST 451","Teaching for Climate Activism","4","EDST","451"
"1196","EDST 452","Poverty and Education","4","EDST","452"
"1197","EDST 453","Racism and Education","4","EDST","453"
"1198","EDST 454","Patriarchy and Education","4","EDST","454"
"1199","EDST 455","Heteronormativity and Education","4","EDST","455"
"1200","EDST 456","Decolonization and Education","4","EDST","456"
"1201","EDST 457","Immigration, Diaspora and Education","4","EDST","457"
"1202","EDST 463","Foundations of Literacy","4","EDST","463"
"1203","EDST 464","Multicultural Literacy","4","EDST","464"
"1204","EDST 471","Foundations of Algebra Learning","4","EDST","471"
"1205","EDST 472","Foundations of Geometry Learning","4","EDST","472"
"1206","EDLD 211","Exploring Leadership","3","EDLD","211"
"1207","EDLD 411","Examining Leadership Effectiveness","3","EDLD","411"
"1208","ENG 104Z","Introduction to Fiction","4","ENG","104Z"
"1209","ENG 105Z","Introduction to Drama","4","ENG","105Z"
"1210","ENG 106Z","Introduction to Poetry","4","ENG","106Z"
"1211","ENG 107","World Literature I","4","ENG","107"
"1212","ENG 108","World Literature II","4","ENG","108"
"1213","ENG 110M","Introduction to Film and Media","4","ENG","110M"
"1214","ENG 199","Special Studies: [Topic]","1-5","ENG","199"
"1215","ENG 200","Public Speaking as a Liberal Art","4","ENG","200"
"1216","ENG 200M","Temporary Multilisted Course","4","ENG","200M"
"1217","ENG 205","Genre: [Topic]","4","ENG","205"
"1218","ENG 207","Early Shakespeare","4","ENG","207"
"1219","ENG 208","Late Shakespeare","4","ENG","208"
"1220","ENG 209","The Craft of the Sentence","4","ENG","209"
"1221","ENG 225","Age of King Arthur","4","ENG","225"
"1222","ENG 230","Introduction to Environmental Literature","4","ENG","230"
"1223","ENG 240","Introduction to Disability Studies","4","ENG","240"
"1224","ENG 241","Introduction to African American Literature","4","ENG","241"
"1225","ENG 242","Introduction to Asian American Literature","4","ENG","242"
"1226","ENG 243","Introduction to Chicano and Latino Literature","4","ENG","243"
"1227","ENG 244","Introduction to Native American Literature","4","ENG","244"
"1228","ENG 250","Literature and Digital Culture","4","ENG","250"
"1229","ENG 260M","Media Aesthetics","4","ENG","260M"
"1230","ENG 280","Introduction to Comic Studies","4","ENG","280"
"1231","ENG 303","Foundations of the English Major: Text","4","ENG","303"
"1232","ENG 304","English Major Foundations: Context","4","ENG","304"
"1233","ENG 305","English Major Foundations: Theory","4","ENG","305"
"1234","ENG 313","Teen and Children's Literature","4","ENG","313"
"1235","ENG 315","Women Writers' Cultures: [Topic]","4","ENG","315"
"1236","ENG 316","Women Writers' Forms: [Topic]","4","ENG","316"
"1237","ENG 321","English Novel","4","ENG","321"
"1238","ENG 322","English Novel","4","ENG","322"
"1239","ENG 323","English Novel Conrad to Present","4","ENG","323"
"1240","ENG 325","Literature of the Northwest","4","ENG","325"
"1241","ENG 330","Oral Controversy and Advocacy","4","ENG","330"
"1242","ENG 335","Inventing Arguments","4","ENG","335"
"1243","ENG 340","Jewish Writers","4","ENG","340"
"1244","ENG 352","Shakespeare on Page and Stage","4","ENG","352"
"1245","ENG 360","African American Writers","4","ENG","360"
"1246","ENG 361","Native American Writers","4","ENG","361"
"1247","ENG 363","Chicano and Latino Writers","4","ENG","363"
"1248","ENG 365","Global Literatures in English","4","ENG","365"
"1249","ENG 380","Film, Media, and History","4","ENG","380"
"1250","ENG 381M","Film, Media, and Culture","4","ENG","381M"
"1251","ENG 385","Graphic Narratives and Cultural Theory","4","ENG","385"
"1252","ENG 386","Bodies in Comics","4","ENG","386"
"1253","ENG 391","American Novel","4","ENG","391"
"1254","ENG 392","American Novel","4","ENG","392"
"1255","ENG 394","20th-Century Literature","4","ENG","394"
"1256","ENG 395","20th-Century Literature","4","ENG","395"
"1257","ENG 399","Special Studies: [Topic]","1-5","ENG","399"
"1258","ENG 400M","Temporary Multilisted Course","1-5","ENG","400M"
"1259","ENG 401","Research: [Topic]","1-21","ENG","401"
"1260","ENG 403","Thesis","1-12","ENG","403"
"1261","ENG 404","Internship: [Topic]","1-6","ENG","404"
"1262","ENG 405","Reading and Conference: [Topic]","1-21","ENG","405"
"1263","ENG 407","Seminar: [Topic]","1-5","ENG","407"
"1264","ENG 408","Workshop: [Topic]","1-21","ENG","408"
"1265","ENG 410","Experimental Course: [Topic]","1-5","ENG","410"
"1266","ENG 413","Theories of Literacy","4","ENG","413"
"1267","ENG 419","Contemporary Literary Theory","4","ENG","419"
"1268","ENG 420","The Art of the Sentence","4","ENG","420"
"1269","ENG 423","The Age of Beowulf","4","ENG","423"
"1270","ENG 425","Medieval Romance","4","ENG","425"
"1271","ENG 427","Chaucer","4","ENG","427"
"1272","ENG 428","Old English I","4","ENG","428"
"1273","ENG 429","Old English II: [Topic]","4","ENG","429"
"1274","ENG 430","Old English III: [Topic]","4","ENG","430"
"1275","ENG 434","Spenser","4","ENG","434"
"1276","ENG 436","Advanced Shakespeare","4","ENG","436"
"1277","ENG 448","Restoration and 18th-Century Literature","4","ENG","448"
"1278","ENG 455","English Romantic Writers","4","ENG","455"
"1279","ENG 457","Victorian Literature and Culture: [Topic]","4","ENG","457"
"1280","ENG 461","American Literature to 1800","4","ENG","461"
"1281","ENG 468","Ethnic Literature: [Topic]","4","ENG","468"
"1282","ENG 470","Technologies and Texts Capstone","4","ENG","470"
"1283","ENG 479","Major Authors: [Topic]","4","ENG","479"
"1284","ENG 480","Modern American Superhero","4","ENG","480"
"1285","ENG 485","Television Studies","4","ENG","485"
"1286","ENG 486M","New Media and Digital Culture: [Topic]","4","ENG","486M"
"1287","ENG 488","Race and Representation in Film: [Topic]","4","ENG","488"
"1288","ENG 491","Rhetoric and Ethics","4","ENG","491"
"1289","ENG 492","History of Rhetoric and Composition","4","ENG","492"
"1290","ENG 493","Modern Rhetorical Criticism","4","ENG","493"
"1291","ENG 494","Reasoning, Speaking, Writing","4","ENG","494"
"1292","ENG 496","Feminist Film Criticism: [Topic]","4","ENG","496"
"1293","ENVD 199","Special Studies: [Topic]","1-5","ENVD","199"
